nameWithOwner,createdAt,age
freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,9
EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,10
sindresorhus/awesome,2014-07-11T13:42:37Z,9
public-apis/public-apis,2016-03-20T23:49:42Z,8
jwasham/coding-interview-university,2016-06-06T02:34:12Z,7
kamranahmedse/developer-roadmap,2017-03-15T13:45:52Z,7
codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,5
facebook/react,2013-05-24T16:15:54Z,10
vuejs/vue,2013-07-29T03:24:51Z,10
vinta/awesome-python,2014-06-27T21:00:06Z,9
tensorflow/tensorflow,2015-11-07T01:19:20Z,8
trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,5
TheAlgorithms/Python,2016-07-16T09:44:01Z,7
getify/You-Dont-Know-JS,2013-11-16T02:37:24Z,10
awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,8
CyC2018/CS-Notes,2018-02-13T14:56:24Z,6
torvalds/linux,2011-09-04T22:48:12Z,12
ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,14
twbs/bootstrap,2011-07-29T21:19:00Z,12
flutter/flutter,2015-03-06T22:54:58Z,9
ossu/computer-science,2014-05-04T00:18:39Z,9
microsoft/vscode,2015-09-03T20:23:38Z,8
github/gitignore,2010-11-08T20:17:14Z,13
jlevy/the-art-of-command-line,2015-05-20T15:11:03Z,8
airbnb/javascript,2012-11-01T23:13:50Z,11
ytdl-org/youtube-dl,2010-10-31T14:35:07Z,13
labuladong/fucking-algorithm,2020-02-19T09:01:23Z,4
huggingface/transformers,2018-10-29T13:56:00Z,5
vercel/next.js,2016-10-05T23:32:51Z,7
golang/go,2014-08-19T04:33:40Z,9
Chalarangelo/30-seconds-of-code,2017-11-29T17:35:03Z,6
facebook/react-native,2015-01-09T18:10:16Z,9
justjavac/free-programming-books-zh_CN,2013-11-04T01:59:19Z,10
yangshun/tech-interview-handbook,2016-07-05T05:00:48Z,7
axios/axios,2014-08-18T22:30:27Z,9
microsoft/PowerToys,2019-05-01T17:44:02Z,4
f/awesome-chatgpt-prompts,2022-12-05T13:54:13Z,1
facebook/create-react-app,2016-07-17T14:55:11Z,7
angular/angular,2014-09-18T16:12:01Z,9
denoland/deno,2018-05-15T01:34:26Z,5
rust-lang/rust,2010-06-16T20:39:03Z,13
ant-design/ant-design,2015-04-24T15:37:24Z,8
ryanmcdermott/clean-code-javascript,2016-11-25T22:25:41Z,7
puppeteer/puppeteer,2017-05-09T22:16:13Z,6
iluwatar/java-design-patterns,2014-08-09T16:45:18Z,9
PanJiaChen/vue-element-admin,2017-04-17T03:35:49Z,6
521xueweihan/HelloGitHub,2016-05-04T06:24:11Z,7
papers-we-love/papers-we-love,2013-12-15T14:31:41Z,10
ripienaar/free-for-dev,2015-03-18T21:06:26Z,9
godotengine/godot,2014-01-04T16:05:36Z,10
animate-css/animate.css,2011-10-12T10:07:38Z,12
fatedier/frp,2015-12-21T15:24:59Z,8
gothinkster/realworld,2016-02-26T20:49:53Z,8
tailwindlabs/tailwindcss,2017-10-06T14:59:14Z,6
iptv-org/iptv,2018-11-14T22:00:57Z,5
pytorch/pytorch,2016-08-13T05:26:41Z,7
laravel/laravel,2011-06-08T03:06:08Z,12
django/django,2012-04-28T02:47:18Z,11
tauri-apps/tauri,2019-07-13T09:09:37Z,4
sveltejs/svelte,2016-11-20T18:13:05Z,7
Hack-with-Github/Awesome-Hacking,2016-03-30T15:47:10Z,7
tonsky/FiraCode,2014-11-11T19:32:38Z,9
MisterBooo/LeetCodeAnimation,2018-12-06T08:01:22Z,5
nvm-sh/nvm,2010-04-15T17:47:47Z,13
macrozheng/mall,2018-04-04T01:11:44Z,5
florinpop17/app-ideas,2019-02-25T18:36:56Z,5
FortAwesome/Font-Awesome,2012-02-17T14:19:43Z,12
gohugoio/hugo,2013-07-04T15:26:26Z,10
typicode/json-server,2013-11-27T13:21:13Z,10
vuejs/awesome-vue,2015-10-20T00:16:14Z,8
excalidraw/excalidraw,2020-01-02T01:04:43Z,4
jaywcjlove/awesome-mac,2016-07-17T15:33:47Z,7
tiangolo/fastapi,2018-12-08T08:21:47Z,5
oven-sh/bun,2021-04-14T00:48:17Z,2
yt-dlp/yt-dlp,2020-10-26T04:22:55Z,3
elastic/elasticsearch,2010-02-08T13:20:56Z,14
base-org/node,2023-02-01T13:55:02Z,1
hakimel/reveal.js,2011-06-07T18:54:22Z,12
mermaid-js/mermaid,2014-11-01T23:52:32Z,9
DopplerHQ/awesome-interview-questions,2015-11-28T09:48:17Z,8
ChatGPTNextWeb/ChatGPT-Next-Web,2023-03-10T18:27:54Z,1
microsoft/ML-For-Beginners,2021-03-03T01:34:05Z,3
CompVis/stable-diffusion,2022-08-10T14:36:44Z,1
supabase/supabase,2019-10-12T05:56:49Z,4
webpack/webpack,2012-03-10T10:08:14Z,12
redis/redis,2009-03-21T22:32:25Z,14
Developer-Y/cs-video-courses,2016-10-21T17:02:11Z,7
expressjs/express,2009-06-26T18:56:01Z,14
protocolbuffers/protobuf,2014-08-26T15:52:15Z,9
josephmisiti/awesome-machine-learning,2014-07-15T19:11:19Z,9
bregman-arie/devops-exercises,2019-10-03T17:31:21Z,4
nomic-ai/gpt4all,2023-03-27T18:49:32Z,0
